name,position,group,club,division,based_in,division_tier,tier_quality,date_of_birth,birth_month,birth_quarter,age_(days)_on_1_july_2015,age_(months)_on_1_july_2015,age_(years)_on_1_july_2015,birth_city,nation_of_birth,birth_region,nationality,second_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4_tier,train_or_test
Medy Elito,M/AM (L),Midfielder,Newport Co,English Football League 2,ENG,ENG4,5,28/09/1982,9,1,11964,393,25,Kinshasa,ENG,Central Africa,ENG,COD,,,,182,72,31,227,,
Curtley Williams,D (R),Defender,Luton,English Football League 2,ENG,ENG4,5,21/09/1982,9,1,11971,393,25,Ipswich,ENG,UK & Ireland,ENG,,,,,185,85,0,71,,
Matty Brown,D (C),Defender,FC Halifax,NaN,ENG,NONE,7,24/06/1982,6,4,12060,396,25,Liverpool,ENG,UK & Ireland,ENG,,,,,191,81,5,38,,
Kristian Dennis,ST (C),Forward,Macclesfield,NaN,ENG,NONE,7,12/11/1981,11,1,12284,403,25,Manchester,ENG,UK & Ireland,ENG,,,,,181,70,105,197,,
Mickey Demetriou,D (L),Defender,Cambridge,English Football League 2,ENG,ENG4,5,06/11/1981,11,1,12290,403,25,Brighton,ENG,UK & Ireland,ENG,,,,,188,79,12,188,,
Charlie Walker,ST (C),Forward,Aldershot,NaN,ENG,NONE,7,10/02/1981,2,2,12559,412,25,NaN,ENG,UK & Ireland,ENG,,,,,178,74,0,3,,
Gary Noel,"AM (C), ST (C)",Forward,First Vienna FC 1894,NaN,AUT,NONE,7,18/12/1980,12,2,12613,414,25,London,ENG,UK & Ireland,ENG,,,,,180,75,57,131,,
AJ Leitch-Smith,"AM (RC), ST (C)",Forward,Port Vale,English Football League 1,ENG,ENG3,4,28/11/1980,11,1,12633,415,25,Crewe,ENG,UK & Ireland,ENG,,,,,173,75,35,171,,
Ryan Bennett,D (C),Defender,Norwich,English Premier Division,ENG,ENG1,1,18/11/1980,11,1,12643,415,25,Thurrock,ENG,UK & Ireland,ENG,,,,,183,78,14,237,,
Alex Smithies,GK,Goalkeeper,Q.P.R.,English Football League Championship,ENG,ENG2,3,27/05/1980,5,3,12818,421,25,Huddersfield,ENG,UK & Ireland,ENG,,,,,188,84,0,247,,
Danny Drinkwater,M (C),Midfielder,Leicester,English Premier Division,ENG,ENG1,1,19/03/1980,3,3,12887,423,25,Manchester,ENG,UK & Ireland,ENG,,,,,177,70,13,200,,
Ashley Chambers,"AM (RL), ST (C)",Forward,Dag & Red,English Football League 2,ENG,ENG4,5,03/11/1979,11,1,13024,427,25,Leicester,ENG,UK & Ireland,ENG,,,,,178,73,26,177,,
Ben Tozer,"D (RC), DM",Defender,Yeovil,English Football League 2,ENG,ENG4,5,15/10/1979,10,1,13043,428,25,Plymouth,ENG,UK & Ireland,ENG,,,,,186,81,6,177,,
David Fitzpatrick,D (L),Defender,Macclesfield,NaN,ENG,NONE,7,27/03/1979,3,3,13245,435,25,Manchester,ENG,UK & Ireland,ENG,,,,,178,74,8,121,,
Tom Taiwo,M (RC),Midfielder,Falkirk,Scottish Championship,SCO,SCO2,6,19/03/1979,3,3,13253,435,25,Pudsey,ENG,UK & Ireland,ENG,NGA,,,,173,67,9,201,,
Terry Hawkridge,M (RL),Midfielder,Lincoln,NaN,ENG,NONE,7,21/03/1978,3,3,13616,447,25,Nottingham,ENG,UK & Ireland,ENG,,,,,176,70,29,174,,
Peter Murphy,"DM, M/AM (C)",Midfielder,Morecambe,English Football League 2,ENG,ENG4,5,18/05/1977,5,3,13923,457,25,Liverpool,ENG,UK & Ireland,ENG,,,,,186,72,25,197,,
Andy Rose,"DM, M (C)",Midfielder,Seattle,NaN,USA,NONE,7,14/03/1975,3,3,14719,483,25,Melbourne,ENG,Southeast Asia,ENG,AUS,,,,188,78,13,90,,
Hakeem Araba,ST (C),Forward,Falkenberg,NaN,SWE,NONE,7,15/07/1973,7,4,15326,503,25,London,ENG,UK & Ireland,ENG,NGA,,,,190,95,64,188,,
Troy Hewitt,ST (C),Forward,NaN,NaN,ENG,NONE,7,10/02/1990,2,2,9272,304,25,NaN,ENG,UK & Ireland,ENG,,,,,183,79,16,76,,
Jonathan Page,D (RC),Defender,East Fife,Scottish League 2,SCO,SCO4,6,21/01/1990,1,2,9292,305,25,Winchester,ENG,UK & Ireland,ENG,,,,,186,79,8,108,,
Chris Clements,M/AM (C),Midfielder,Mansfield,English Football League 2,ENG,ENG4,5,06/11/1989,11,1,9368,307,25,Birmingham,ENG,UK & Ireland,ENG,,,,,175,66,27,185,,
Dan Gosling,M (C),Midfielder,Bournemouth,English Premier Division,ENG,ENG1,1,12/09/1989,9,1,9423,309,25,Torquay,ENG,UK & Ireland,ENG,,,,,181,78,9,100,,
Jonny Fairbairn,D (C),Defender,Berwick,Scottish League 2,SCO,SCO4,6,10/09/1989,9,1,9425,309,25,BerwickNaNuponNaNTweed,ENG,UK & Ireland,ENG,,,,,188,70,3,47,,
Chris Arthur,M (L),Midfielder,Woking,NaN,ENG,NONE,7,29/06/1989,6,4,9498,312,25,Enfield,ENG,UK & Ireland,ENG,,,,,176,77,4,155,,
Joe McNerney,D (C),Defender,Crawley,English Football League 2,ENG,ENG4,5,17/03/1989,3,3,9602,315,25,NaN,ENG,UK & Ireland,ENG,,,,,191,80,13,210,,
Martyn Waghorn,ST (C),Forward,Rangers,Scottish Championship,SCO,SCO2,6,14/02/1989,2,2,9633,316,25,South Shields,ENG,UK & Ireland,ENG,,,,,177,83,33,172,,
Alex Marrow,M (C),Midfielder,NaN,NaN,ENG,NONE,7,07/01/1989,1,2,9671,317,25,AshtonNaNunderNaNLyne,ENG,UK & Ireland,ENG,,,,,185,78,2,97,,
Greg Taylor,D (L),Defender,Cambridge,English Football League 2,ENG,ENG4,5,28/11/1988,11,1,9711,319,25,Bedford,ENG,UK & Ireland,ENG,,,,,186,77,5,221,,
Jai Reason,M/AM (C),Midfielder,Eastleigh,NaN,ENG,NONE,7,24/10/1988,10,1,9746,320,25,SouthendNaNonNaNSea,ENG,UK & Ireland,ENG,,,,,180,82,62,255,,
Myles Anderson,D (L),Defender,L'Aquila,NaN,ITA,NONE,7,12/10/1988,10,1,9758,320,25,London,ENG,UK & Ireland,ENG,,,,,183,80,1,32,,
Dale Bennett,D (RC),Defender,Forest Green,NaN,ENG,NONE,7,11/10/1988,10,1,9759,320,25,Enfield,ENG,UK & Ireland,ENG,TRI,,,,181,79,4,108,,
Krystian Pearce,D (C),Defender,Mansfield,English Football League 2,ENG,ENG4,5,10/10/1988,10,1,9760,320,25,Birmingham,ENG,UK & Ireland,ENG,,,,,186,85,12,202,,
Scott Boden,ST (C),Forward,Newport Co,English Football League 2,ENG,ENG4,5,04/10/1988,10,1,9766,320,25,Sheffield,ENG,UK & Ireland,ENG,,,,,181,70,47,209,,
Terry Gornell,ST (C),Forward,Accrington,English Football League 2,ENG,ENG4,5,19/09/1988,9,1,9781,321,25,Liverpool,ENG,UK & Ireland,ENG,,,,,181,78,44,238,,
Aaron Cresswell,D (L),Defender,West Ham,English Premier Division,ENG,ENG1,1,23/08/1988,8,4,9808,322,25,Liverpool,ENG,UK & Ireland,ENG,,,,,171,67,13,240,,
David Ball,ST (C),Forward,Fleetwood,English Football League 1,ENG,ENG3,4,21/07/1988,7,4,9841,323,25,Manchester,ENG,UK & Ireland,ENG,,,,,183,74,36,160,,
Andreas Arestidou,GK,Goalkeeper,Fleetwood,English Football League 1,ENG,ENG3,4,18/07/1988,7,4,9844,323,25,Morecambe,ENG,UK & Ireland,ENG,,,,,184,80,0,37,,
Alex McCarthy,GK,Goalkeeper,Crystal Palace,English Premier Division,ENG,ENG1,1,01/06/1988,6,4,9891,325,25,Guildford,ENG,UK & Ireland,ENG,IRL,,,,194,79,0,144,,
Freddie Sears,"M (R), AM (RLC), ST (C)",Midfielder,Ipswich,English Football League Championship,ENG,ENG2,3,31/03/1988,3,3,9953,327,25,Hornchurch,ENG,UK & Ireland,ENG,,,,,173,64,42,206,,
Junior Stanislas,AM (RL),Forward,Bournemouth,English Premier Division,ENG,ENG1,1,25/01/1988,1,2,10019,329,25,NaN,ENG,UK & Ireland,ENG,LCA,,,,183,77,14,154,,
Jon Routledge,M (C),Midfielder,Dumbarton,Scottish Championship,SCO,SCO2,6,22/11/1987,11,1,10083,331,25,Liverpool,ENG,UK & Ireland,ENG,,,,,178,73,6,119,,
Chris Smalling,D (RC),Defender,Man Utd,English Premier Division,ENG,ENG1,1,27/10/1987,10,1,10109,332,25,London,ENG,UK & Ireland,ENG,,,,,194,90,7,125,,
Ed Upson,M (C),Midfielder,Millwall,English Football League 1,ENG,ENG3,4,25/10/1987,10,1,10111,332,25,Bury St. Edmunds,ENG,UK & Ireland,ENG,,,,,182,73,8,148,,
Mark Beevers,D (LC),Defender,Millwall,English Football League 1,ENG,ENG3,4,04/10/1987,10,1,10132,332,25,Barnsley,ENG,UK & Ireland,ENG,,,,,193,80,5,241,,
Will Buckley,AM (RLC),Forward,Sunderland,English Premier Division,ENG,ENG1,1,05/08/1987,8,4,10192,334,25,Oldham,ENG,UK & Ireland,ENG,IRL,,,,183,79,38,216,,
Fabian Delph,M (C),Midfielder,Man City,English Premier Division,ENG,ENG1,1,12/05/1987,5,3,10277,337,25,Bradford,ENG,UK & Ireland,ENG,GUY,,,,174,60,9,161,,
Marc Albrighton,"WB (R), M (RL), AM (R)",Defender,Leicester,English Premier Division,ENG,ENG1,1,26/04/1987,4,3,10293,338,25,Tamworth,ENG,UK & Ireland,ENG,,,,,174,68,9,108,,
James Clarke,D (RC),Defender,Bristol Rovers,English Football League 2,ENG,ENG4,5,10/04/1987,4,3,10309,338,25,Aylesbury,ENG,UK & Ireland,ENG,,,,,183,84,0,138,,
Jake Livermore,"DM, M (C)",Midfielder,Hull,English Football League Championship,ENG,ENG2,3,19/03/1987,3,3,10331,339,25,Enfield,ENG,UK & Ireland,ENG,,,,,181,73,6,153,,
Lathaniel Rowe-Turner,D (L),Defender,Kidderminster,NaN,ENG,NONE,7,02/01/1987,1,2,10407,341,25,Leicester,ENG,UK & Ireland,ENG,,,,,185,83,2,174,,
Nick Blackman,"AM (RL), ST (C)",Forward,Reading,English Football League Championship,ENG,ENG2,3,23/11/1986,11,1,10447,343,25,Macclesfield,ENG,UK & Ireland,ENG,BRB,,,,188,74,33,169,,
Callum Reynolds,D (C),Defender,Boreham Wood,NaN,ENG,NONE,7,17/11/1986,11,1,10453,343,25,Luton,ENG,UK & Ireland,ENG,,,,,183,78,12,167,,
Callum Kennedy,D (L),Defender,AFC Wimbledon,English Football League 2,ENG,ENG4,5,22/10/1986,10,1,10479,344,25,Chertsey,ENG,UK & Ireland,ENG,,,,,186,81,1,106,,
Aaron Jameson,GK,Goalkeeper,Buxton,NaN,ENG,NONE,7,05/10/1986,10,1,10496,344,25,Sheffield,ENG,UK & Ireland,ENG,,,,,191,84,0,68,,
Josh Wright,"DM, M (C)",Midfielder,Gillingham,English Football League 1,ENG,ENG3,4,01/10/1986,10,1,10500,345,25,London,ENG,UK & Ireland,ENG,,,,,185,73,4,197,,
Nathan Luscombe,AM (L),Forward,NaN,NaN,ENG,NONE,7,02/07/1986,7,4,10591,347,25,Gateshead,ENG,UK & Ireland,ENG,,,,,173,84,1,26,,
Andrew Boyce,D (C),Defender,Scunthorpe,English Football League 1,ENG,ENG3,4,22/06/1986,6,4,10601,348,25,Doncaster,ENG,UK & Ireland,ENG,,,,,194,73,12,217,,
Abu Ogogo,"D (R), M (C)",Defender,Shrewsbury,English Football League 1,ENG,ENG3,4,15/04/1986,4,3,10669,350,25,Epsom,ENG,UK & Ireland,ENG,,,,,180,64,18,224,,
Paul Farman,GK,Goalkeeper,Lincoln,NaN,ENG,NONE,7,17/12/1985,12,2,10788,354,25,Newcastle,ENG,UK & Ireland,ENG,,,,,196,92,0,192,,
Ben Tomlinson,"AM (L), ST (C)",Forward,Barnet,English Football League 2,ENG,ENG4,5,17/10/1985,10,1,10849,356,25,Worksop,ENG,UK & Ireland,ENG,,,,,180,77,47,149,,
Joseph Mills,D/M (L),Defender,Oldham,English Football League 1,ENG,ENG3,4,07/05/1985,5,3,11012,361,25,Swindon,ENG,UK & Ireland,ENG,,,,,176,70,2,137,,
Ashley Barnes,ST (C),Forward,Burnley,English Football League Championship,ENG,ENG2,3,23/01/1985,1,2,11116,365,25,Bath,ENG,UK & Ireland,ENG,AUT,,,,186,77,63,262,,
Joel Ward,"D (RL), M (R)",Defender,Crystal Palace,English Premier Division,ENG,ENG1,1,16/09/1984,9,1,11245,369,25,Chichester,ENG,UK & Ireland,ENG,,,,,188,83,8,207,,
Tope Obadeyi,"M (L), AM (RL), ST (C)",Midfielder,Kilmarnock,Scottish Premiership,SCO,SCO1,3,14/09/1984,9,1,11247,369,25,Birmingham,ENG,UK & Ireland,ENG,NGA,,,,183,87,14,108,,
Damon Lathrope,"DM, M (C)",Midfielder,Aldershot,NaN,ENG,NONE,7,13/07/1984,7,4,11310,371,25,Stevenage,ENG,UK & Ireland,ENG,,,,,181,71,1,150,,
Danny Glover,ST (C),Forward,AFC Telford,NaN,ENG,NONE,7,13/05/1984,5,3,11371,373,25,Crewe,ENG,UK & Ireland,ENG,,,,,183,71,65,252,,
Jack Colback,"DM, M (C)",Midfielder,Newcastle,English Premier Division,ENG,ENG1,1,22/04/1984,4,3,11392,374,25,Newcastle,ENG,UK & Ireland,ENG,,,,,176,73,12,200,,
Luke Murphy,"DM, M (C)",Midfielder,Leeds,English Football League Championship,ENG,ENG2,3,07/02/1984,2,2,11467,376,25,Alsager,ENG,UK & Ireland,ENG,,,,,186,80,27,228,,
Dwight Gayle,ST (C),Forward,Crystal Palace,English Premier Division,ENG,ENG1,1,29/01/1984,1,2,11476,377,25,Walthamstow,ENG,UK & Ireland,ENG,JAM,,,,178,73,61,136,,
Joe Anderson,D (L),Defender,Bromley,NaN,ENG,NONE,7,31/10/1983,10,1,11566,380,25,London,ENG,UK & Ireland,ENG,,,,,183,78,5,188,,
Rob Lainton,GK,Goalkeeper,Bury,English Football League 1,ENG,ENG3,4,02/09/1983,9,1,11625,381,25,AshtonNaNunderNaNLyne,ENG,UK & Ireland,ENG,,,,,188,79,0,35,,
Kieran Agard,ST (C),Forward,Bristol City,English Football League Championship,ENG,ENG2,3,23/03/1983,3,3,11788,387,25,London,ENG,UK & Ireland,ENG,JAM,,,,178,68,47,155,,
Paul Rodgers,D (R),Defender,Bromley,NaN,ENG,NONE,7,23/03/1983,3,3,11788,387,25,London,ENG,UK & Ireland,ENG,,,,,183,85,1,149,,
Greg Wilkinson,AM (R),Forward,AFC Telford,NaN,ENG,NONE,7,23/01/1983,1,2,11847,389,25,AshtonNaNunderNaNLyne,ENG,UK & Ireland,ENG,,,,,183,72,16,184,,
Aaron Martin,D (C),Defender,Coventry,English Football League 1,ENG,ENG3,4,16/01/1983,1,2,11854,389,25,Newport (Isle of Wight),ENG,UK & Ireland,ENG,,,,,191,77,9,123,,
Mark Randall,M (C),Midfielder,MK Dons,English Football League Championship,ENG,ENG2,3,22/12/1982,12,2,11879,390,25,Milton Keynes,ENG,UK & Ireland,ENG,,,,,183,70,3,100,,
James Vincent,AM (C),Forward,Inverness CT,Scottish Premiership,SCO,SCO1,3,12/11/1982,11,1,11919,391,25,Glossop,ENG,UK & Ireland,ENG,,,,,181,70,10,179,,
Lewis Young,"M (RL), AM (R)",Midfielder,Crawley,English Football League 2,ENG,ENG4,5,31/10/1982,10,1,11931,392,25,Stevenage,ENG,UK & Ireland,ENG,,,,,176,61,0,128,,
Jaydon Gibbs,D/M/AM (R),Defender,Dover,NaN,ENG,NONE,7,30/10/1982,10,1,11932,392,25,London,ENG,UK & Ireland,ENG,,,,,174,71,3,65,,
Kieran Gibbs,D/WB (L),Defender,Arsenal,English Premier Division,ENG,ENG1,1,28/09/1982,9,1,11964,393,25,London,ENG,UK & Ireland,ENG,,,,,178,66,1,118,,
Ben Mee,D (LC),Defender,Burnley,English Football League Championship,ENG,ENG2,3,21/09/1982,9,1,11971,393,25,Sale,ENG,UK & Ireland,ENG,,,,,180,74,3,136,,
Jimmy Phillips,M/AM (L),Midfielder,Gateshead,NaN,ENG,NONE,7,24/06/1982,6,4,12060,396,25,StokeNaNonNaNTrent,ENG,UK & Ireland,ENG,,,,,171,70,3,126,,
James Dunne,M (C),Midfielder,Portsmouth,English Football League 2,ENG,ENG4,5,12/11/1981,11,1,12284,403,25,Farnborough,ENG,UK & Ireland,ENG,,,,,180,69,12,208,,
Geoff Mitchell,ST (C),Forward,Alloa,Scottish Championship,SCO,SCO2,6,06/11/1981,11,1,12290,403,25,London,ENG,UK & Ireland,ENG,,,,,196,91,13,46,,
Bondz N'Gala,D (RC),Defender,Barnet,English Football League 2,ENG,ENG4,5,10/02/1981,2,2,12559,412,25,London,ENG,UK & Ireland,ENG,COD,,,,190,90,7,175,,
Matthew Saunders,M (C),Midfielder,NaN,NaN,ENG,NONE,7,18/12/1980,12,2,12613,414,25,Chertsey,ENG,UK & Ireland,ENG,,,,,181,73,7,70,,
Michael Kay,D (RC),Defender,Chester,NaN,ENG,NONE,7,28/11/1980,11,1,12633,415,25,Consett,ENG,UK & Ireland,ENG,,,,,185,75,2,105,,
Tom Hateley,"DM, M (C)",Midfielder,Slask,NaN,POL,NONE,7,18/11/1980,11,1,12643,415,25,Monaco,ENG,Central Europe,ENG,,,,,180,73,9,208,,
Jonny Rowell,"DM, M (C)",Midfielder,NaN,NaN,ENG,NONE,7,27/05/1980,5,3,12818,421,25,Newcastle,ENG,UK & Ireland,ENG,,,,,179,75,7,101,,
Marcus Marshall,M (R),Midfielder,Grimsby,NaN,ENG,NONE,7,19/03/1980,3,3,12887,423,25,Nottingham,ENG,UK & Ireland,ENG,,,,,178,82,9,158,,
Preston Edwards,GK,Goalkeeper,Boreham Wood,NaN,ENG,NONE,7,03/11/1979,11,1,13024,427,25,Cheshunt,ENG,UK & Ireland,ENG,,,,,183,75,0,207,,
Daniel Sturridge,ST (C),Forward,Liverpool,English Premier Division,ENG,ENG1,1,15/10/1979,10,1,13043,428,25,Birmingham,ENG,UK & Ireland,ENG,JAM,,,,183,79,61,151,,
Rob Sinclair,M/AM (RC),Midfielder,Forest Green,NaN,ENG,NONE,7,27/03/1979,3,3,13245,435,25,Bedford,ENG,UK & Ireland,ENG,,,,,178,77,10,168,,
Craig Curran,"AM (RLC), ST (C)",Forward,Ross County,Scottish Premiership,SCO,SCO1,3,19/03/1979,3,3,13253,435,25,Liverpool,ENG,UK & Ireland,ENG,,,,,176,74,45,233,,
Steve Arnold,GK,Goalkeeper,Forest Green,NaN,ENG,NONE,7,21/03/1978,3,3,13616,447,25,Hatfield,ENG,UK & Ireland,ENG,,,,,196,84,0,97,,
Dean Winnard,D (RLC),Defender,Accrington,English Football League 2,ENG,ENG4,5,18/05/1977,5,3,13923,457,25,Wigan,ENG,UK & Ireland,ENG,,,,,176,65,5,237,,
Josh Law,D (R),Defender,Motherwell,Scottish Premiership,SCO,SCO1,3,14/03/1975,3,3,14719,483,25,Nottingham,ENG,UK & Ireland,ENG,,,,,181,70,23,298,,
Kevin Roberts,D (R),Defender,FC Halifax,NaN,ENG,NONE,7,15/07/1973,7,4,15326,503,25,Liverpool,ENG,UK & Ireland,ENG,,,,,173,77,10,237,,
Tom Cleverley,M (C),Midfielder,Everton,English Premier Division,ENG,ENG1,1,12/08/1989,8,4,9454,310,25,Basingstoke,ENG,UK & Ireland,ENG,,,,,175,67,23,158,,
Anthony Cook,M/AM (RL),Midfielder,Bromley,NaN,ENG,NONE,7,10/08/1989,8,4,9456,310,25,London,ENG,UK & Ireland,ENG,WAL,,,,178,71,40,166,,
Aswad Thomas,D (L),Defender,Dover,NaN,ENG,NONE,7,09/08/1989,8,4,9457,310,25,London,ENG,UK & Ireland,ENG,,,,,175,79,12,235,,
Ryan Bertrand,D/WB/AM (L),Defender,Southampton,English Premier Division,ENG,ENG1,1,05/08/1989,8,4,9461,310,25,London,ENG,UK & Ireland,ENG,,,,,179,76,3,224,,
Netan Sansara,D (LC),Defender,Fredrikstad,NaN,NOR,NONE,7,03/08/1989,8,4,9463,310,25,Walsall,ENG,UK & Ireland,ENG,IND,,,,183,76,5,107,,
Sam Hutchinson,"D (RC), DM, M (C)",Defender,Sheff Wed,English Football League Championship,ENG,ENG2,3,03/08/1989,8,4,9463,310,25,Slough,ENG,UK & Ireland,ENG,,,,,183,78,2,45,,
Jay Rodriguez,"M/AM (RL), ST (C)",Midfielder,Southampton,English Premier Division,ENG,ENG1,1,29/07/1989,7,4,9468,311,25,Burnley,ENG,UK & Ireland,ENG,,,,,186,70,56,190,,
Moses Emmanuel,"M/AM (RL), ST (C)",Midfielder,Bromley,NaN,ENG,NONE,7,18/07/1989,7,4,9479,311,25,London,ENG,UK & Ireland,ENG,,,,,168,70,77,277,,
Joe Skarz,D (L),Defender,Oxford,English Football League 2,ENG,ENG4,5,13/07/1989,7,4,9484,311,25,Huddersfield,ENG,UK & Ireland,ENG,,,,,183,83,5,285,,
Dale Stephens,M (C),Midfielder,Brighton,English Football League Championship,ENG,ENG2,3,12/07/1989,7,4,9485,311,25,Bolton,ENG,UK & Ireland,ENG,,,,,186,79,26,206,,
Aden Flint,D (C),Defender,Bristol City,English Football League Championship,ENG,ENG2,3,11/07/1989,7,4,9486,311,25,Nottingham,ENG,UK & Ireland,ENG,,,,,199,77,25,223,,
John Akinde,ST (C),Forward,Barnet,English Football League 2,ENG,ENG4,5,08/07/1989,7,4,9489,311,25,Gravesend,ENG,UK & Ireland,ENG,NGA,,,,188,87,69,222,,
Charlie Austin,ST (C),Forward,Q.P.R.,English Football League Championship,ENG,ENG2,3,05/07/1989,7,4,9492,311,25,Hungerford,ENG,UK & Ireland,ENG,,,,,188,84,161,275,,
Daniel Roberts,M/AM (C),Midfielder,NaN,NaN,USA,NONE,7,29/06/1989,6,4,9498,312,26,Reading,ENG,UK & Ireland,ENG,USA,,,,186,78,1,43,,
Simon Eastwood,GK,Goalkeeper,Blackburn,English Football League Championship,ENG,ENG2,3,17/03/1989,3,3,9602,315,26,Luton,ENG,UK & Ireland,ENG,,,,,188,89,0,114,,
Jack Cork,"DM, M (C)",Midfielder,Swansea,English Premier Division,ENG,ENG1,1,14/02/1989,2,2,9633,316,26,Carshalton,ENG,UK & Ireland,ENG,,,,,185,69,9,284,,
Matty Blair,M/AM (RL),Midfielder,Mansfield,English Football League 2,ENG,ENG4,5,07/01/1989,1,2,9671,317,26,Warwick,ENG,UK & Ireland,ENG,SCO,,,,178,74,46,247,,
Ben Coker,D/WB (L),Defender,Southend,English Football League 1,ENG,ENG3,4,28/11/1988,11,1,9711,319,26,Welwyn Garden City,ENG,UK & Ireland,ENG,,,,,181,74,20,207,,
Kallum Higginbotham,AM (C),Forward,Kilmarnock,Scottish Premiership,SCO,SCO1,3,24/10/1988,10,1,9746,320,26,Salford,ENG,UK & Ireland,ENG,,,,,178,69,25,225,,
George Saunders,"DM, M (C)",Midfielder,Envigado F.C.,NaN,COL,NONE,7,12/10/1988,10,1,9758,320,26,London,ENG,UK & Ireland,ENG,,,,,176,74,4,163,,
James Henry,M/AM (R),Midfielder,Wolves,English Football League Championship,ENG,ENG2,3,11/10/1988,10,1,9759,320,26,Reading,ENG,UK & Ireland,ENG,SCO,,,,185,78,37,239,,
Matt Lowton,D/WB (R),Defender,Burnley,English Football League Championship,ENG,ENG2,3,10/10/1988,10,1,9760,320,26,Chesterfield,ENG,UK & Ireland,ENG,,,,,181,78,12,181,,
Matt Smith,ST (C),Forward,Fulham,English Football League Championship,ENG,ENG2,3,04/10/1988,10,1,9766,320,26,Birmingham,ENG,UK & Ireland,ENG,FRA,,,,199,89,62,173,,
Billy Priestley,D (C),Defender,Ashton Utd,NaN,ENG,NONE,7,19/09/1988,9,1,9781,321,26,Burnley,ENG,UK & Ireland,ENG,,,,,186,80,0,29,,
Scott McManus,D (L),Defender,FC Halifax,NaN,ENG,NONE,7,23/08/1988,8,4,9808,322,26,Manchester,ENG,UK & Ireland,ENG,SCO,,,,183,70,11,205,,
Jack Muldoon,M/AM (L),Midfielder,Lincoln,NaN,ENG,NONE,7,21/07/1988,7,4,9841,323,26,Scunthorpe,ENG,UK & Ireland,ENG,,,,,176,77,70,182,,
Lenell John-Lewis,ST (C),Forward,Newport Co,English Football League 2,ENG,ENG4,5,18/07/1988,7,4,9844,323,26,London,ENG,UK & Ireland,ENG,,,,,181,87,40,247,,
Mike Green,D (L),Defender,Eastleigh,NaN,ENG,NONE,7,01/06/1988,6,4,9891,325,26,Southampton,ENG,UK & Ireland,ENG,,,,,183,84,4,184,,
Javan Vidal,D/WB (R),Defender,Wrexham,NaN,ENG,NONE,7,31/03/1988,3,3,9953,327,26,Manchester,ENG,UK & Ireland,ENG,,,,,178,69,2,51,,
Waide Fairhurst,"AM (R), ST (C)",Forward,Torquay,NaN,ENG,NONE,7,25/01/1988,1,2,10019,329,26,Sheffield,ENG,UK & Ireland,ENG,,,,,178,70,40,172,,
Junior Brown,M/AM (L),Midfielder,Shrewsbury,English Football League 1,ENG,ENG3,4,22/11/1987,11,1,10083,331,26,Crewe,ENG,UK & Ireland,ENG,,,,,176,69,28,199,,
Kieron St Aimie,ST (C),Forward,Welling,NaN,ENG,NONE,7,27/10/1987,10,1,10109,332,26,London,ENG,UK & Ireland,ENG,,,,,186,83,43,275,,
Shaun Pearson,D (C),Defender,Grimsby,NaN,ENG,NONE,7,25/10/1987,10,1,10111,332,26,York,ENG,UK & Ireland,ENG,,,,,188,81,28,213,,
Charlie Strutton,ST (C),Forward,Braintree,NaN,ENG,NONE,7,04/10/1987,10,1,10132,332,26,London,ENG,UK & Ireland,ENG,,,,,181,77,63,98,,
Curtis Haynes-Brown,D (L),Defender,Macclesfield,NaN,ENG,NONE,7,05/08/1987,8,4,10192,334,26,London,ENG,UK & Ireland,ENG,,,,,188,72,4,109,,
Sahr Kabba,ST (C),Forward,Welling,NaN,ENG,NONE,7,12/05/1987,5,3,10277,337,26,Bristol,ENG,UK & Ireland,ENG,,,,,159,75,45,164,,
Amari Morgan-Smith,ST (C),Forward,Cheltenham,NaN,ENG,NONE,7,26/04/1987,4,3,10293,338,26,Wolverhampton,ENG,UK & Ireland,ENG,,,,,183,85,58,193,,
James Tomkins,D (C),Defender,West Ham,English Premier Division,ENG,ENG1,1,10/04/1987,4,3,10309,338,26,Basildon,ENG,UK & Ireland,ENG,,,,,191,79,8,193,,
Joe Widdowson,D/WB (L),Defender,Dag & Red,English Football League 2,ENG,ENG4,5,19/03/1987,3,3,10331,339,26,Romford,ENG,UK & Ireland,ENG,,,,,183,77,1,218,,
Scott Sinclair,"M (L), AM (RL)",Midfielder,Aston Villa,English Premier Division,ENG,ENG1,1,02/01/1987,1,2,10407,341,26,Bath,ENG,UK & Ireland,ENG,,,,,173,68,35,192,,
Jamie Chandler,M (C),Midfielder,Gateshead,NaN,ENG,NONE,7,23/11/1986,11,1,10447,343,26,South Shields,ENG,UK & Ireland,ENG,,,,,170,71,21,186,,
Lukas Jutkiewicz,ST (C),Forward,Burnley,English Football League Championship,ENG,ENG2,3,17/11/1986,11,1,10453,343,26,Southampton,ENG,UK & Ireland,ENG,POL,,,,186,78,52,258,,
Jamal Fyfield,D (L),Defender,Wrexham,NaN,ENG,NONE,7,22/10/1986,10,1,10479,344,26,Leyton,ENG,UK & Ireland,ENG,,,,,183,78,6,207,,
Charlie O'Loughlin,D (C),Defender,NaN,NaN,ENG,NONE,7,05/10/1986,10,1,10496,344,26,Birmingham,ENG,UK & Ireland,ENG,,,,,194,81,13,181,,
