name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Kofi Shaw,M/AM (C),Bristol Rovers,English Football League 1,ENG,ENG3,4,23/12/2006,6034,198,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,54,0,0,YES
Che Whitman-Brown,ST (C),Mansfield,English Football League 2,ENG,ENG4,5,23/12/2006,6034,198,16,-,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,52,0,0,NO
Jordan Meikle,ST (C),,-,ENG,NONE,7,23/12/2006,6034,198,16,Sleaford,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,NO
George Beaumont,"M (R), AM (RL)",Millwall,English Football League Championship,ENG,ENG2,3,22/12/2006,6035,198,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,YES
Jackson Blaize,M/AM (C),Sheff Utd,English Premier Division,ENG,ENG1,1,22/12/2006,6035,198,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Justin Oguntolu,AM (RL),Derby,English Football League 1,ENG,ENG3,4,22/12/2006,6035,198,16,-,,ENG,UK & Ireland,ENG,NGA,"5'9""",5,9,175.26,61,0,0,YES
Alex Walpole,AM (RC),Huddersfield,English Football League Championship,ENG,ENG2,3,21/12/2006,6036,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,69,0,0,YES
George Giwa,ST (C),Rotherham,English Football League Championship,ENG,ENG2,3,21/12/2006,6036,198,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,78,0,0,YES
Sam Proctor,GK,Aston Villa,English Premier Division,ENG,ENG1,1,21/12/2006,6036,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,68,0,0,YES
Jackson Kelly,ST (C),Stoke,English Football League Championship,ENG,ENG2,3,20/12/2006,6037,198,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,66,0,0,YES
Ben Wodskou,ST (C),Birmingham,English Football League Championship,ENG,ENG2,3,20/12/2006,6037,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,74,0,0,YES
Adam Pow,D (C),Harrogate,English Football League 2,ENG,ENG4,5,20/12/2006,6037,198,16,Leeds,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,69,0,0,NO
Connor Wolfheimer,GK,Brentford,English Premier Division,ENG,ENG1,1,20/12/2006,6037,198,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,YES
Owen Grainger,GK,Leeds,English Football League Championship,ENG,ENG2,3,20/12/2006,6037,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,69,0,0,YES
Harry Waldock,M (C),Gillingham,English Football League 2,ENG,ENG4,5,20/12/2006,6037,198,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,NO
Max Fry,D (C),Southampton,English Football League Championship,ENG,ENG2,3,19/12/2006,6038,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,YES
Jack Kelly,DM,,-,ENG,NONE,7,19/12/2006,6038,198,16,Chester,,ENG,UK & Ireland,ENG,NIR,"5'10""",5,10,177.8,65,0,0,NO
Ben Blakely,D (C),Coventry,English Football League Championship,ENG,ENG2,3,17/12/2006,6040,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,YES
Abiodun Chukwuemeka,M (R),,-,ENG,NONE,7,17/12/2006,6040,198,16,Chatham,,ENG,UK & Ireland,ENG,NGA,"5'9""",5,9,175.26,62,0,0,NO
Lucas Ellis,WB (L),Mansfield,English Football League 2,ENG,ENG4,5,17/12/2006,6040,198,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,NO
Mark Cain,AM (R),,-,ENG,NONE,7,16/12/2006,6041,198,16,Yate,,ENG,UK & Ireland,ENG,IRL,"5'8""",5,8,172.72,58,0,0,NO
Aidan Harris,GK,Newcastle,English Premier Division,ENG,ENG1,1,16/12/2006,6041,198,16,Sunderland,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,81,0,0,YES
Reece Munro,D (C),Man UFC,English Premier Division,ENG,ENG1,1,16/12/2006,6041,198,16,London,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,65,0,0,YES
Conor McLeod,AM (C),Wolves,English Premier Division,ENG,ENG1,1,15/12/2006,6042,198,16,-,,ENG,UK & Ireland,ENG,JAM,"5'11""",5,11,180.34,63,0,0,YES
Liam Moore,"DM, M (C)",Sutton,English Football League 2,ENG,ENG4,5,15/12/2006,6042,198,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,NO
Rashaad Drysdale,AM (RL),Colchester,English Football League 2,ENG,ENG4,5,15/12/2006,6042,198,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,NO
Archie Howard,GK,Hull,English Football League Championship,ENG,ENG2,3,15/12/2006,6042,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,YES
Jack Thompson,GK,Derby,English Football League 1,ENG,ENG3,4,14/12/2006,6043,198,16,Derby,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,YES
Roman Egan-Riley,D (C),Tottenham,English Premier Division,ENG,ENG1,1,14/12/2006,6043,198,16,Manchester,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,YES
Leon Parker,AM (R),Middlesbrough,English Football League Championship,ENG,ENG2,3,14/12/2006,6043,198,16,Spennymoor,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,YES
Jack McClarin,M (R),Harrogate,English Football League 2,ENG,ENG4,5,14/12/2006,6043,198,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,75,0,0,NO
Reece Clairmont,D (L),Arsenal,English Premier Division,ENG,ENG1,1,14/12/2006,6043,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Max Beech,M (C),Peterborough,English Football League 1,ENG,ENG3,4,14/12/2006,6043,198,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,65,0,0,YES
Max Kuczynski,D (C),Arsenal,English Premier Division,ENG,ENG1,1,13/12/2006,6044,198,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Alfie Mansell,GK,Brighton,English Premier Division,ENG,ENG1,1,13/12/2006,6044,198,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Harrison Bettoni,AM (C),Wigan,English Football League 1,ENG,ENG3,4,12/12/2006,6045,198,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Oliver Piekarski,D (L),Doncaster,English Football League 2,ENG,ENG4,5,12/12/2006,6045,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,NO
Jonny Brindle,"D (LC), WB (L)",Preston,English Football League Championship,ENG,ENG2,3,12/12/2006,6045,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Luke Alker,ST (C),Barnsley,English Football League 1,ENG,ENG3,4,12/12/2006,6045,198,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,YES
Corey Sears,D/WB (L),West Brom,English Football League Championship,ENG,ENG2,3,12/12/2006,6045,198,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Henry Bullen,GK,Norwich,English Football League Championship,ENG,ENG2,3,12/12/2006,6045,198,16,Norwich,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,YES
Daniel James,M (C),Middlesbrough,English Football League Championship,ENG,ENG2,3,11/12/2006,6046,198,16,Newcastle,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Thomas Bryant,D (L),Newcastle,English Premier Division,ENG,ENG1,1,11/12/2006,6046,198,16,Newcastle,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
Carter Ford,M (C),Lincoln,English Football League 1,ENG,ENG3,4,11/12/2006,6046,198,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,56,0,0,YES
Charlie Emery,D (C),Luton,English Premier Division,ENG,ENG1,1,10/12/2006,6047,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
William Ronald,D/WB (R),Northampton,English Football League 1,ENG,ENG3,4,10/12/2006,6047,198,16,Market Harborough,,ENG,UK & Ireland,ENG,SCO,"5'11""",5,11,180.34,62,0,0,YES
Harley Hunt,D (C),Swindon,English Football League 2,ENG,ENG4,5,10/12/2006,6047,198,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,NO
Dylan Thomas,"DM, M (C)",Walsall,English Football League 2,ENG,ENG4,5,10/12/2006,6047,198,16,Dudley,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,NO
Logan Carlin,WB (R),Burnley,English Premier Division,ENG,ENG1,1,10/12/2006,6047,198,16,Burnley,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,YES
Zak Lowe,GK,,-,ENG,NONE,7,09/12/2006,6048,198,16,Basildon,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,NO
Jaydan Kamason,D (R),Man UFC,English Premier Division,ENG,ENG1,1,08/12/2006,6049,198,16,London,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,58,0,0,YES
Luke Howard,AM (C),Reading,English Football League 1,ENG,ENG3,4,08/12/2006,6049,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Kasper Williams,D (C),Doncaster,English Football League 2,ENG,ENG4,5,08/12/2006,6049,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,NO
Matthew Henderson-Hall,AM (R),Man City,English Premier Division,ENG,ENG1,1,08/12/2006,6049,198,16,Bradford,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,65,0,0,YES
Carter Sullivan,GK,Gillingham,English Football League 2,ENG,ENG4,5,07/12/2006,6050,198,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,76,0,0,NO
Noah Kiwomya,"AM (RL), ST (C)",Sheff Utd,English Premier Division,ENG,ENG1,1,06/12/2006,6051,198,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,58,0,0,YES
Aaron Lacey,D (C),Oxford United,English Football League 1,ENG,ENG3,4,06/12/2006,6051,198,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,YES
Devine Samuel,ST (C),Leyton Orient,English Football League 1,ENG,ENG3,4,06/12/2006,6051,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Neo Dobson,ST (C),Northampton,English Football League 1,ENG,ENG3,4,06/12/2006,6051,198,16,London,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,67,0,0,YES
Harrison Rice,WB/AM (L),Bolton,English Football League 1,ENG,ENG3,4,06/12/2006,6051,198,16,Liverpool,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,61,0,0,YES
Harry Shipstone,M (C),Grimsby,English Football League 2,ENG,ENG4,5,05/12/2006,6052,198,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,NO
Layth Gulzar,"DM, M (C)",Brighton,English Premier Division,ENG,ENG1,1,05/12/2006,6052,198,16,-,,ENG,UK & Ireland,ENG,PAK,"5'10""",5,10,177.8,59,0,0,YES
Shane Nti,M (C),Brighton,English Premier Division,ENG,ENG1,1,05/12/2006,6052,198,16,-,,ENG,UK & Ireland,ENG,MAS,"6'0""",6,0,182.88,66,0,0,YES
Lewis McNab,GK,Leicester,English Football League Championship,ENG,ENG2,3,04/12/2006,6053,198,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Harley Irwin,M (C),Bolton,English Football League 1,ENG,ENG3,4,04/12/2006,6053,198,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,76,0,0,YES
Jude Sadler,GK,Charlton,English Football League 1,ENG,ENG3,4,04/12/2006,6053,198,16,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,75,0,0,YES
Kiantay Licorish-Mullings,D (C),Northampton,English Football League 1,ENG,ENG3,4,03/12/2006,6054,198,16,Wellingborough,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,87,0,0,YES
Oliver Fairhurst,D/WB (L),Wigan,English Football League 1,ENG,ENG3,4,03/12/2006,6054,198,16,Wigan,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Kyle Cooper,D (L),Exeter,English Football League 1,ENG,ENG3,4,03/12/2006,6054,198,16,Yeovil,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,58,0,0,YES
Steve Galloway,D (R),,-,ENG,NONE,7,02/12/2006,6055,198,16,Burton-on-Trent,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,70,0,0,NO
James Kemp,ST (C),Accrington,English Football League 2,ENG,ENG4,5,01/12/2006,6056,199,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,NO
Clarke Lanahan,D (R),,-,ENG,NONE,7,01/12/2006,6056,199,16,Swindon,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,NO
Ben Calder,D (C),Crewe,English Football League 2,ENG,ENG4,5,01/12/2006,6056,199,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,NO
Kai Pitts-Lewis,ST (C),Stevenage,English Football League 1,ENG,ENG3,4,01/12/2006,6056,199,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,YES
Jye Templeton,ST (C),,-,ENG,NONE,7,30/11/2006,6057,199,16,Mansfield,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,NO
Romelle Donovan,M/AM (C),Birmingham,English Football League Championship,ENG,ENG2,3,30/11/2006,6057,199,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,58,0,0,YES
Alfie Scales,GK,Morecambe,English Football League 2,ENG,ENG4,5,30/11/2006,6057,199,16,Middlesbrough,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,NO
James Sanderson,AM (LC),Notts Co,English Football League 2,ENG,ENG4,5,30/11/2006,6057,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,58,0,0,NO
Abraham Amoh,M (L),,-,ENG,NONE,7,29/11/2006,6058,199,16,Preston,,ENG,UK & Ireland,ENG,GHA,"5'8""",5,8,172.72,60,0,0,NO
Mikey Lane,ST (C),Fleetwood,English Football League 1,ENG,ENG3,4,29/11/2006,6058,199,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Constantine Panayiotou,ST (C),Coventry,English Football League Championship,ENG,ENG2,3,28/11/2006,6059,199,16,-,,ENG,UK & Ireland,ENG,CYP,"5'10""",5,10,177.8,64,0,0,YES
Dan Layer,GK,Exeter,English Football League 1,ENG,ENG3,4,28/11/2006,6059,199,16,Plymouth,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,68,0,0,YES
Aleksander Martinsen,M (C),Stockport,English Football League 2,ENG,ENG4,5,28/11/2006,6059,199,16,Manchester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,NO
Jakai Bascoe-Fisher,AM (RL),Arsenal,English Premier Division,ENG,ENG1,1,27/11/2006,6060,199,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,YES
Samuel Samson,AM (L),,-,ENG,NONE,7,27/11/2006,6060,199,16,Preston,,ENG,UK & Ireland,ENG,NGA,"5'3""",5,3,160.02,50,0,0,NO
Frankie McMahon-Brown,M (C),Burnley,English Premier Division,ENG,ENG1,1,27/11/2006,6060,199,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Louis Francis,D (C),Port Vale,English Football League 1,ENG,ENG3,4,27/11/2006,6060,199,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Marlon Behcet,D (RC),,-,ENG,NONE,7,27/11/2006,6060,199,16,Wimbledon,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,NO
Euan Willshire,GK,,-,ENG,NONE,7,27/11/2006,6060,199,16,Bristol,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,74,0,0,NO
Daniel Oyetunde,ST (C),Arsenal,English Premier Division,ENG,ENG1,1,26/11/2006,6061,199,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Noah Muwana,D (RC),Middlesbrough,English Football League Championship,ENG,ENG2,3,25/11/2006,6062,199,16,London,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Khyan Edwards,ST (C),Sutton,English Football League 2,ENG,ENG4,5,25/11/2006,6062,199,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,NO
Bright Yeboah,D (R),,-,ENG,NONE,7,25/11/2006,6062,199,16,Isle of Sheppey,,ENG,UK & Ireland,ENG,GHA,"5'10""",5,10,177.8,64,0,0,NO
Oliver Whitby,"M (L), AM (RL)",Millwall,English Football League Championship,ENG,ENG2,3,25/11/2006,6062,199,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Joe Emery,M (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,25/11/2006,6062,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Samuel Amissah,D (C),Fulham,English Premier Division,ENG,ENG1,1,24/11/2006,6063,199,16,-,,ENG,UK & Ireland,ENG,GHA,"6'1""",6,1,185.42,80,0,0,YES
Jake Spaven,GK,Wigan,English Football League 1,ENG,ENG3,4,24/11/2006,6063,199,16,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,75,0,0,YES
Charlie Warren,GK,Tottenham,English Premier Division,ENG,ENG1,1,24/11/2006,6063,199,16,Braintree,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Calum Logan,D (LC),Tottenham,English Premier Division,ENG,ENG1,1,24/11/2006,6063,199,16,Cambridge,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
Herbie James,AM (R),Tottenham,English Premier Division,ENG,ENG1,1,24/11/2006,6063,199,16,Macclesfield,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,YES
Charlie Wragg,ST (C),Walsall,English Football League 2,ENG,ENG4,5,24/11/2006,6063,199,16,Birmingham,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,NO
Callum Frith,D (C),Ipswich,English Football League Championship,ENG,ENG2,3,24/11/2006,6063,199,16,Southend-on-Sea,,ENG,UK & Ireland,ENG,GRE,"6'3""",6,3,190.5,86,0,0,YES
Matthew Young,GK,Sunderland,English Football League Championship,ENG,ENG2,3,24/11/2006,6063,199,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,YES
Kai McKenzie,ST (C),AFC Wimbledon,English Football League 2,ENG,ENG4,5,23/11/2006,6064,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,57,0,0,NO
Kye Bilton,D (C),Burton,English Football League 1,ENG,ENG3,4,23/11/2006,6064,199,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Liam Oakes,D (R),Exeter,English Football League 1,ENG,ENG3,4,23/11/2006,6064,199,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,54,0,0,YES
Jaydon Jones,M (C),Sunderland,English Football League Championship,ENG,ENG2,3,22/11/2006,6065,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,56,0,0,YES
Rene Rydeheard,M/AM (L),,-,ENG,NONE,7,22/11/2006,6065,199,16,Cambridge,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,56,0,0,NO
Cam'ron Ismail,D (L),Arsenal,English Premier Division,ENG,ENG1,1,22/11/2006,6065,199,16,-,,ENG,UK & Ireland,ENG,EGY,"5'3""",5,3,160.02,50,0,0,YES
Kiano Dyer,M (C),Chelsea,English Premier Division,ENG,ENG1,1,21/11/2006,6066,199,16,Sutton Coldfield,,ENG,UK & Ireland,ENG,MSR,"5'7""",5,7,170.18,55,0,0,YES
Caleb Redhead,ST (C),Crystal Palace,English Premier Division,ENG,ENG1,1,21/11/2006,6066,199,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,68,0,0,YES
Ambrose Oyenuga,D (C),,-,ENG,NONE,7,21/11/2006,6066,199,16,Croydon,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,NO
Owen Bickley,D (LC),Notts Co,English Football League 2,ENG,ENG4,5,21/11/2006,6066,199,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,NO
Jude Franks,GK,Cheltenham,English Football League 1,ENG,ENG3,4,20/11/2006,6067,199,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Jaxon Blankley,D (L),Grimsby,English Football League 2,ENG,ENG4,5,20/11/2006,6067,199,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,76,0,0,NO
Glenn Cadle,GK,,-,ENG,NONE,7,19/11/2006,6068,199,16,Middle Quarters,,JAM,Caribbean,ENG,JAM,"5'11""",5,11,180.34,66,0,0,NO
Scot Prynn,M (R),,-,ENG,NONE,7,19/11/2006,6068,199,16,Nailsworth,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,NO
Amaro Nallo,D (C),Liverpool,English Premier Division,ENG,ENG1,1,18/11/2006,6069,199,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,YES
Gabriel Caliste,M (C),West Ham,English Premier Division,ENG,ENG1,1,18/11/2006,6069,199,16,-,,ENG,UK & Ireland,ENG,MRI,"5'8""",5,8,172.72,60,0,0,YES
Dan Casey,AM (C),Arsenal,English Premier Division,ENG,ENG1,1,18/11/2006,6069,199,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,75,0,0,YES
Charlie Thompson,ST (C),Doncaster,English Football League 2,ENG,ENG4,5,17/11/2006,6070,199,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,NO
Callum Storr,D (R),Grimsby,English Football League 2,ENG,ENG4,5,17/11/2006,6070,199,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,59,0,0,NO
Freddie Redshaw,ST (C),Stockport,English Football League 2,ENG,ENG4,5,17/11/2006,6070,199,16,Stockport,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,NO
Christy Edwards,"M (R), AM (RL)",Wigan,English Football League 1,ENG,ENG3,4,17/11/2006,6070,199,16,-,,ENG,UK & Ireland,ENG,,"5'4""",5,4,162.56,52,0,0,YES
Adam Abbas,ST (C),Burnley,English Premier Division,ENG,ENG1,1,17/11/2006,6070,199,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,YES
Matthew Stair,ST (C),,-,ENG,NONE,7,16/11/2006,6071,199,16,Colchester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,NO
Karsten Cairns,"D (C), DM",Shrewsbury,English Football League 1,ENG,ENG3,4,15/11/2006,6072,199,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,76,0,0,YES
Dakara Wifa,AM (R),Lincoln,English Football League 1,ENG,ENG3,4,15/11/2006,6072,199,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,YES
Trae Payet,D (R),Brentford,English Premier Division,ENG,ENG1,1,15/11/2006,6072,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,YES
Bruno Geraldo,AM (L),,-,ENG,NONE,7,15/11/2006,6072,199,16,Chertsey,,ENG,UK & Ireland,ENG,POR,"5'8""",5,8,172.72,60,0,0,NO
Kobie Hines-Leacock,M/AM (L),Stoke,English Football League Championship,ENG,ENG2,3,14/11/2006,6073,199,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Yusuf Ahmed,"AM (R), ST (C)",Birmingham,English Football League Championship,ENG,ENG2,3,14/11/2006,6073,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Joshua Ajala,ST (C),West Ham,English Premier Division,ENG,ENG1,1,13/11/2006,6074,199,16,-,,ENG,UK & Ireland,ENG,NGA,"6'2""",6,2,187.96,72,0,0,YES
Sergii Ismail,ST (C),Forest Green,English Football League 2,ENG,ENG4,5,13/11/2006,6074,199,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,NO
Giorgio Tribe-Longman,M/AM (L),,-,ENG,NONE,7,12/11/2006,6075,199,16,Bracknell,,ENG,UK & Ireland,ENG,,"5'1""",5,1,154.94,50,0,0,NO
Gérard Peat,DM,,-,ENG,NONE,7,12/11/2006,6075,199,16,Scunthorpe,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,NO
Harvey Foster,"DM, M (C)",Everton,English Premier Division,ENG,ENG1,1,11/11/2006,6076,199,16,Burnley,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,72,0,0,YES
Adam Davison,D (R),Newport Co,English Football League 2,ENG,ENG4,5,11/11/2006,6076,199,16,Swindon,,ENG,UK & Ireland,ENG,SCO,"5'7""",5,7,170.18,62,0,0,NO
Oliver Monington,ST (C),Mansfield,English Football League 2,ENG,ENG4,5,10/11/2006,6077,199,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,61,0,0,NO
Riley Hargan,M (C),West Ham,English Premier Division,ENG,ENG1,1,10/11/2006,6077,199,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,57,0,0,YES
Coban Bird,AM (L),Leeds,English Football League Championship,ENG,ENG2,3,09/11/2006,6078,199,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Josh Ashe,M (R),Crewe,English Football League 2,ENG,ENG4,5,08/11/2006,6079,199,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,60,0,0,NO
Ahmed Mensah,GK,,-,ENG,NONE,7,08/11/2006,6079,199,16,Street,,ENG,UK & Ireland,ENG,GHA,"6'3""",6,3,190.5,74,0,0,NO
Mofe Jemide,D (C),Crystal Palace,English Premier Division,ENG,ENG1,1,08/11/2006,6079,199,16,London,,ENG,UK & Ireland,ENG,NGA,"6'2""",6,2,187.96,72,0,0,YES
Babu Ombok,M (C),Brentford,English Premier Division,ENG,ENG1,1,08/11/2006,6079,199,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Micah Mbick,ST (C),Charlton,English Football League 1,ENG,ENG3,4,08/11/2006,6079,199,16,London,,ENG,UK & Ireland,ENG,CMR,"6'2""",6,2,187.96,72,0,0,YES
